"","PD04722MM"
"","Tasas de interés del Banco Central de Reserva - Tasa de Referencia de la Política Monetaria"
Ene21,0.25
Feb21,0.25
Mar21,0.25
Abr21,0.25
May21,0.25
Jun21,0.25
Jul21,0.25
Ago21,0.5
Sep21,1
Oct21,1.5
Nov21,2
Dic21,2.5
Ene22,3
Feb22,3.5
Mar22,4
Abr22,4.5
May22,5
Jun22,5.5
Jul22,6
Ago22,6.5
Sep22,6.75
Oct22,7
Nov22,7.25
Dic22,7.5
Ene23,7.75
Feb23,7.75
Mar23,7.75
Abr23,7.75
May23,7.75
Jun23,7.75
Jul23,7.75
Ago23,7.75
Sep23,7.5
Oct23,7.25
Nov23,7
Dic23,6.75
Ene24,6.5
Feb24,6.25
Mar24,6.25
Abr24,6
May24,5.75
Jun24,5.75
Jul24,5.75
Ago24,5.5
Sep24,5.25
Oct24,5.25
Nov24,5
Dic24,5
Ene25,4.75
Feb25,4.75
Mar25,4.75
Abr25,4.75
May25,4.5
Jun25,4.5
Jul25,4.5
Ago25,4.5
Sep25,4.25
Oct25,4.25
Nov25,4.25
Dic25,4.25
Ene26,4.25
Feb26,4.25
Mar26,4.25
Abr26,4.25
May26,4.25
Jun26,4.25
Jul26,4.25
Ago26,4.25
