cliente_id,ingreso_mensual,score_riesgo,monto_solicitado,plazo_meses,tasa_ofrecida,tasa_mercado_referencia,costo_fondeo,acepto,default
1,2343.82,0.7943,5800.0,24,0.2229,0.18635,0.0425,1,0.0
2,1111.96,0.5965,6100.0,24,0.19,0.18635,0.0425,1,0.0
3,3001.01,0.3152,2200.0,48,0.1627,0.18635,0.0425,1,0.0
4,3334.65,0.3873,17600.0,48,0.161,0.18635,0.0425,0,
5,930.0,0.8715,3300.0,36,0.2446,0.18635,0.0425,0,
6,961.5,0.6354,2000.0,12,0.1925,0.18635,0.0425,0,
7,2124.85,0.3038,13000.0,36,0.1611,0.18635,0.0425,1,0.0
8,1661.05,0.6352,9100.0,60,0.1925,0.18635,0.0425,0,
9,1961.08,0.7707,5100.0,24,0.2195,0.18635,0.0425,0,
10,1233.42,0.8938,7300.0,36,0.2377,0.18635,0.0425,0,
11,3223.44,0.1494,27600.0,12,0.1386,0.18635,0.0425,1,0.0
12,3046.85,0.6015,2500.0,24,0.1677,0.18635,0.0425,1,0.0
13,2053.26,0.5233,4400.0,36,0.1829,0.18635,0.0425,0,
14,3698.33,0.0187,2500.0,48,0.12,0.18635,0.0425,1,0.0
15,2565.24,0.2771,17400.0,48,0.12,0.18635,0.0425,1,0.0
16,1229.15,0.5809,4800.0,48,0.1833,0.18635,0.0425,0,
17,2428.54,0.6634,8000.0,48,0.1977,0.18635,0.0425,1,0.0
18,1163.11,0.9179,7600.0,36,0.244,0.18635,0.0425,0,
19,3221.75,0.1442,9500.0,36,0.12,0.18635,0.0425,1,0.0
20,1925.39,0.5974,12700.0,24,0.1982,0.18635,0.0425,0,
21,1786.58,0.2886,3300.0,48,0.1245,0.18635,0.0425,0,
22,1356.93,0.6715,5800.0,24,0.247,0.18635,0.0425,0,
23,3899.03,0.01,28400.0,36,0.12,0.18635,0.0425,1,0.0
24,1816.89,0.67,2500.0,60,0.2117,0.18635,0.0425,0,
25,1560.96,0.5425,3900.0,24,0.1834,0.18635,0.0425,0,
26,1628.32,0.7796,5300.0,24,0.2406,0.18635,0.0425,0,
27,2659.09,0.1534,29500.0,12,0.12,0.18635,0.0425,1,0.0
28,2424.09,0.2851,12400.0,24,0.12,0.18635,0.0425,1,0.0
29,2488.49,0.605,4100.0,48,0.2066,0.18635,0.0425,1,0.0
30,2513.58,0.4406,30500.0,24,0.1611,0.18635,0.0425,1,0.0
31,6490.79,0.0189,68200.0,48,0.12,0.18635,0.0425,1,0.0
32,1580.04,0.3061,7700.0,36,0.1495,0.18635,0.0425,1,0.0
33,1489.99,0.8779,21000.0,36,0.2602,0.18635,0.0425,0,
34,1260.57,0.7991,3500.0,60,0.251,0.18635,0.0425,0,
35,2785.37,0.0694,10000.0,24,0.12,0.18635,0.0425,1,0.0
36,3701.88,0.229,8000.0,24,0.1202,0.18635,0.0425,1,0.0
37,1858.23,0.4761,12100.0,36,0.19,0.18635,0.0425,1,0.0
38,1242.26,0.4798,15900.0,36,0.1732,0.18635,0.0425,0,
39,1253.11,0.9055,9900.0,24,0.2383,0.18635,0.0425,0,
40,2839.35,0.5309,6600.0,48,0.158,0.18635,0.0425,1,0.0
41,2989.05,0.354,8800.0,36,0.1588,0.18635,0.0425,1,0.0
42,2675.13,0.1308,19600.0,24,0.12,0.18635,0.0425,1,0.0
43,1368.59,0.4304,3100.0,18,0.1576,0.18635,0.0425,0,
44,2251.39,0.2609,9500.0,12,0.1529,0.18635,0.0425,1,0.0
45,2111.75,0.4886,2700.0,18,0.1534,0.18635,0.0425,1,0.0
46,2234.64,0.1923,7900.0,60,0.1347,0.18635,0.0425,1,0.0
47,3209.23,0.2841,15600.0,18,0.12,0.18635,0.0425,1,0.0
48,2240.72,0.2913,11200.0,60,0.1547,0.18635,0.0425,1,0.0
49,2884.29,0.1466,17500.0,36,0.12,0.18635,0.0425,0,
50,2055.02,0.139,20700.0,24,0.12,0.18635,0.0425,1,0.0
51,2323.63,0.4177,19000.0,48,0.1317,0.18635,0.0425,0,
52,2809.12,0.394,21800.0,24,0.1341,0.18635,0.0425,1,0.0
